timestamp,price,quantity,direction
9:15:00,9.59,71.0,2S
9:15:00,9.38,3.0,2S
9:15:00,10.1,10.0,2S
9:15:00,9.79,71.0,2S
9:15:00,9.39,60.0,2S
9:15:00,9.59,61.0,2S
9:15:00,9.69,61.0,2S
9:15:00,9.89,61.0,2S
9:15:00,9.26,100.0,2S
9:15:00,9.25,8.0,2S
9:15:00,9.3,5.0,2S
9:15:00,9.29,8.0,2S
9:15:00,10.1,213.0,2S
9:15:00,9.1,8.0,2B
9:15:00,10.1,295.4,2S
9:15:00,9.39,10.0,2S
9:15:00,9.28,2.0,2S
9:15:00,9.48,2.0,2S
9:15:00,9.68,2.0,2S
9:15:00,9.28,2.0,2S
9:15:00,9.48,2.0,2S
9:15:00,9.68,2.0,2S
9:15:00,9.41,12.0,2S
9:15:00,10.11,45.6,2S
9:15:00,9.45,6.0,2S
9:15:00,9.6,10.0,2S
9:15:00,9.67,11.0,2S
9:15:00,9.73,12.0,2S
9:15:00,8.28,3.0,2B
9:15:00,10.12,20.0,2S
9:15:00,9.5,5.0,2S
9:15:00,10.1,10.0,2S
9:15:00,9.7,6.0,2S
9:15:00,9.88,20.0,2S
9:15:00,9.98,20.0,2S
9:15:00,10.12,25.0,2S
9:15:00,9.35,10.0,2S
9:15:00,9.25,10.0,2S
9:15:00,9.1,20.0,2B
9:15:00,9.45,5.0,2S
9:15:00,9.06,5.0,2B
9:15:00,9.5,113.0,2S
9:15:00,8.74,23.0,2B
9:15:00,10.1,10.0,2S
9:15:00,9.8,6.0,2S
9:15:00,9.35,3.0,2S
9:15:00,9.48,4.0,2S
9:15:00,9.27,3.0,2S
9:15:00,9.24,3.0,2S
9:15:00,9.33,3.0,2S
9:15:00,9.37,4.0,2S
9:15:00,9.28,5.0,2S
9:15:00,9.38,5.0,2S
9:15:00,8.95,5.0,2B
9:15:00,9.6,10.0,2S
9:15:00,10.1,10.0,2S
9:15:00,9.1,20.0,2B
9:15:00,9.07,37.0,2B
9:15:00,8.9,39.0,2B
9:15:00,8.68,44.0,2B
9:15:00,8.41,52.0,2B
9:15:00,9.46,55.0,2S
9:15:00,9.81,68.0,2S
9:15:00,10.12,35.0,2S
9:15:00,9.79,3.0,2S
9:15:00,9.02,5.0,2B
9:15:00,9.29,4.0,2S
9:15:00,9.23,22.0,2S
9:15:00,9.24,10.0,2S
9:15:00,9.25,10.0,2S
9:15:00,9.29,3.0,2S
9:15:00,9.38,2.0,2B
9:15:00,9.8,10.0,2S
9:15:00,9.27,20.0,2S
9:15:00,8.74,25.0,2B
9:15:00,8.64,25.0,2B
9:15:00,9.25,20.0,2S
9:15:00,9.0,1.0,2B
9:15:00,9.2,10.0,2B
9:15:00,9.09,20.0,2B
9:15:00,9.99,100.0,2S
9:15:00,9.99,100.0,2S
9:15:00,9.12,31.0,2B
9:15:00,9.19,1.0,2B
9:15:00,9.35,5.0,2S
9:15:00,8.95,5.0,2B
9:15:00,9.47,5.0,2S
9:15:00,9.3,200.0,2S
9:15:00,9.0,300.0,2B
9:15:00,10.12,25.0,2S
9:15:00,10.07,22.0,2S
9:15:00,10.02,20.0,2S
9:15:00,9.97,18.0,2S
9:15:00,9.92,15.0,2S
9:15:00,9.87,12.0,2S
9:15:00,9.82,10.0,2S
9:15:00,9.76,7.0,2S
9:15:00,9.69,6.0,2S
9:15:00,9.29,50.0,2S
9:15:00,9.36,50.0,2S
9:15:00,9.42,15.0,2S
9:15:00,9.39,10.0,2S
9:15:00,9.25,28.0,2S
9:15:00,9.24,28.0,2S
9:15:00,9.23,28.0,2S
9:15:00,9.22,28.0,2S
9:15:00,9.26,27.0,2S
9:15:00,9.28,27.0,2S
9:15:00,9.29,27.0,2S
9:15:00,9.25,27.0,2S
9:15:00,9.1,6.0,2B
9:15:00,10.12,15.0,2S
9:15:00,9.48,5.0,2S
9:15:00,9.57,5.0,2S
9:15:00,9.66,5.0,2S
9:15:00,9.75,5.0,2S
9:15:00,9.84,5.0,2S
9:15:00,9.93,5.0,2S
9:15:00,9.5,839.0,2S
9:15:00,10.1,10.0,2S
9:15:00,9.7,7.2,2S
9:15:00,9.23,2.0,2S
9:15:00,9.32,10.0,2S
9:15:00,9.27,10.0,2S
9:15:00,9.3,10.0,2S
9:15:00,9.4,10.0,2S
9:15:00,9.5,10.0,2S
9:15:00,9.58,24.0,2S
9:15:00,9.59,77.0,2S
9:15:00,9.79,156.0,2S
9:15:00,9.59,130.0,2S
9:15:00,9.79,130.4,2S
9:15:00,9.01,10.0,2B
9:15:00,9.51,1.0,2S
9:15:00,9.26,100.0,2S
9:15:00,9.5,200.0,2S
9:15:00,9.56,100.0,2S
9:15:00,9.28,27.0,2S
9:15:00,10.12,18.0,2S
9:15:00,9.3,10.0,2S
9:15:00,9.48,5.0,2S
9:15:00,9.15,20.0,2B
9:15:00,9.69,192.0,2S
9:15:00,9.79,44.0,2S
9:15:00,9.3,17.0,2S
9:15:00,8.8,17.0,2B
9:15:00,9.14,20.0,2B
9:15:00,9.25,6.0,2S
9:15:00,9.28,6.0,2S
9:15:00,9.31,6.0,2S
9:15:00,9.89,239.0,2S
9:15:00,9.13,30.0,2B
9:15:00,9.12,50.0,2B
9:15:00,9.36,2.0,2S
9:15:00,9.69,206.0,2S
9:15:00,9.56,2.0,2S
9:15:00,9.76,2.0,2S
9:15:00,9.96,3.0,2S
9:15:00,10.09,60.0,2S
9:15:00,9.33,2.0,2S
9:15:00,9.47,18.0,2S
9:15:00,9.47,18.0,2S
9:15:00,9.89,27.0,2S
9:15:00,9.3,13.0,2S
9:15:00,9.33,10.0,2S
9:15:00,9.11,30.0,2B
9:15:00,9.06,30.0,2B
9:15:00,9.0,40.0,2B
9:15:00,10.07,1.0,2S
9:15:00,9.32,88.0,2S
9:15:00,8.54,2.0,2B
9:15:00,9.25,20.0,2S
9:15:00,9.5,20.0,2S
9:15:00,8.75,20.0,2B
9:15:00,9.3,50.0,2S
9:15:00,9.6,50.0,2S
9:15:00,9.27,130.0,2S
9:15:00,9.32,130.0,2S
9:15:00,9.37,130.0,2S
9:15:00,9.42,130.0,2S
9:15:00,9.47,130.0,2S
9:15:00,9.52,130.0,2S
9:15:00,9.57,130.0,2S
9:15:00,9.62,130.0,2S
9:15:00,9.67,130.0,2S
9:15:00,9.31,2.0,2S
9:15:00,9.52,10.0,2S
9:15:00,9.6,10.0,2S
9:15:00,10.12,18.0,2S
9:15:00,10.12,18.0,2S
9:15:00,10.12,18.0,2S
9:15:00,9.4,38.0,2S
9:15:00,9.36,25.0,2S
9:15:00,9.3,5.0,2S
9:15:00,9.4,5.0,2S
9:15:00,9.5,5.0,2S
9:15:00,9.2,16.0,2B
9:15:00,9.2,42.0,2B
9:15:00,9.45,30.0,2S
9:15:00,9.39,30.0,2S
9:15:00,9.59,41.0,2S
9:15:00,9.69,123.0,2S
9:15:00,9.49,24.0,2S
9:15:00,9.59,24.0,2S
9:15:00,9.29,25.0,2S
9:15:00,9.39,21.0,2S
9:15:00,9.08,22.0,2B
9:15:00,9.29,20.0,2S
9:15:00,9.99,6.0,2S
9:15:00,9.87,6.0,2S
9:15:00,9.5,3.0,2S
9:15:00,9.79,10.0,2S
9:15:00,9.25,11.0,2S
9:15:00,9.35,11.0,2S
9:15:00,9.45,11.0,2S
9:15:00,9.55,11.0,2S
9:15:00,9.65,11.0,2S
9:15:00,9.35,5.0,2S
9:15:00,9.75,11.0,2S
9:15:00,9.85,11.0,2S
9:15:00,9.95,11.0,2S
9:15:00,10.05,10.0,2S
9:15:00,10.12,10.0,2S
9:15:00,9.0,5.0,2B
9:15:00,9.3,10.0,2S
9:15:00,9.44,5.0,2S
9:15:00,8.51,5.0,2B
9:15:00,9.35,5.0,2S
9:15:00,9.0,5.0,2B
9:15:00,9.35,5.0,2S
9:15:00,9.32,5.0,2S
9:15:00,9.92,4.0,2S
9:15:00,9.41,18.0,2S
9:15:00,9.01,19.0,2B
9:15:00,9.3,12.0,2S
9:15:00,9.39,1.0,2S
9:15:00,9.3,50.0,2S
9:15:00,9.1,20.0,2B
9:15:00,9.45,50.0,2S
9:15:00,9.6,50.0,2S
9:15:00,9.3,5.2,2S
9:15:00,9.4,5.0,2S
9:15:00,9.25,10.0,2S
9:15:00,9.27,10.0,2S
9:15:00,9.29,10.0,2S
9:15:00,9.31,10.0,2S
9:15:00,9.33,10.0,2S
9:15:00,9.24,10.0,2S
9:15:00,9.26,10.0,2S
9:15:00,9.28,10.0,2S
9:15:00,9.3,10.0,2S
9:15:00,9.32,10.0,2S
9:15:00,9.34,10.0,2S
9:15:00,9.36,10.0,2S
9:15:00,9.0,50.0,2B
9:15:00,9.25,10.0,2S
9:15:00,9.27,10.0,2S
9:15:00,9.29,10.0,2S
9:15:00,9.31,10.0,2S
9:15:00,9.33,10.0,2S
9:15:00,9.35,10.0,2S
9:15:00,9.37,10.0,2S
9:15:00,9.39,10.0,2S
9:15:00,9.3,6.0,2S
9:15:00,10.0,1.0,2S
9:15:00,9.3,4.0,2S
9:15:00,9.25,20.0,2S
9:15:00,9.3,20.0,2S
9:15:00,9.02,7.0,2B
9:15:00,9.51,2.0,2S
9:15:00,9.81,2.0,2S
9:15:00,10.12,2.0,2S
9:15:00,9.29,5.0,2S
9:15:00,9.39,5.0,2S
9:15:00,9.33,36.0,2S
9:15:00,10.12,85.0,2S
9:15:00,8.98,15.0,2B
9:15:00,8.58,8.0,2B
9:15:00,9.07,50.0,2B
9:15:00,9.06,50.0,2B
9:15:00,9.07,40.0,2B
9:15:00,9.06,41.0,2B
9:15:00,9.06,50.0,2B
9:15:00,9.07,50.0,2B
9:15:00,9.07,40.0,2B
9:15:00,9.33,10.0,2S
9:15:00,9.28,3.0,2S
9:15:00,9.38,34.0,2S
9:15:00,9.3,4.0,2S
9:15:00,10.12,60.0,2S
9:15:00,8.45,2.0,2B
9:15:00,10.1,1.0,2S
9:15:00,9.29,10.0,2S
9:15:00,9.38,10.0,2S
9:15:00,9.48,10.0,2S
9:15:00,9.58,10.0,2S
9:15:00,9.78,10.0,2S
9:15:00,9.88,10.0,2S
9:15:00,9.98,10.0,2S
9:15:00,9.3,193.0,2S
9:15:00,9.0,1.0,2B
9:15:00,9.66,20.0,2S
9:15:00,9.59,3.0,2S
9:15:00,10.0,7.0,2S
9:15:00,9.27,1.0,2S
9:15:00,9.14,9.0,2B
9:15:00,9.52,4.0,2S
9:15:00,9.3,4.0,2S
9:15:00,9.25,20.0,2S
9:15:00,9.0,10.0,2B
9:15:00,9.3,1.0,2S
9:15:00,9.2,20.0,2B
9:15:00,10.1,10.0,2S
9:15:00,9.7,8.0,2S
9:15:00,9.12,10.0,2B
9:15:00,9.44,7.0,2S
9:15:00,9.11,10.0,2B
9:15:00,10.12,38.0,2S
9:15:00,9.55,9.0,2S
9:15:00,9.1,10.0,2B
9:15:00,9.67,13.0,2S
9:15:00,9.09,10.0,2B
9:15:00,9.78,20.0,2S
9:15:00,9.08,10.0,2B
9:15:00,9.89,28.0,2S
9:15:00,9.07,10.0,2B
9:15:00,10.01,31.0,2S
9:15:00,9.06,10.0,2B
9:15:00,9.4,6.0,2S
9:15:00,9.99,6.0,2S
9:15:00,9.47,22.0,2S
9:15:00,9.69,30.0,2S
9:15:00,9.97,50.0,2S
9:15:00,9.29,50.0,2S
9:15:00,9.3,10.0,2S
9:15:00,9.09,50.0,2B
9:15:00,9.23,50.0,2S
9:15:00,9.29,13.0,2S
9:15:00,9.34,100.0,2S
9:15:00,9.0,10.0,2B
9:15:00,9.3,2.0,2S
9:15:00,9.3,6.0,2S
9:15:00,10.12,5.0,2S
9:15:00,9.3,4.0,2S
9:15:00,9.39,16.0,2S
9:15:00,9.52,20.0,2S
9:15:00,9.72,50.0,2S
9:15:00,9.92,50.0,2S
9:15:00,9.23,30.0,2S
9:15:00,9.6,110.0,2S
9:15:00,9.79,110.0,2S
9:15:00,9.49,10000.0,2S
9:15:00,9.69,10000.0,2S
9:15:00,9.25,11.0,2S
9:15:00,9.31,27.0,2S
9:15:00,9.34,27.0,2S
9:15:00,9.37,27.0,2S
9:15:00,9.13,27.0,2B
9:15:00,9.1,27.0,2B
9:15:00,9.07,27.0,2B
9:15:00,9.04,27.0,2B
9:15:00,9.51,10.0,2S
9:15:00,10.12,20.0,2S
9:15:00,9.59,10.0,2S
9:15:00,9.42,10.0,2S
9:15:00,9.45,20.0,2S
9:15:00,9.48,30.0,2S
9:15:00,9.52,40.0,2S
9:15:00,9.55,40.0,2S
9:15:00,9.55,4.0,2S
9:15:00,9.25,20.0,2S
9:15:00,8.75,6.0,2B
9:15:00,8.36,6.0,2B
9:15:00,9.5,6.0,2S
9:15:00,9.9,6.0,2S
9:15:00,10.11,250.0,2S
9:15:00,10.11,500.0,2S
9:15:00,9.98,30.0,2S
9:15:00,9.38,20.0,2S
9:15:00,9.8,30.0,2S
9:15:00,9.01,20.0,2B
9:15:00,9.89,24.0,2S
9:15:00,9.66,20.0,2S
9:15:00,9.43,16.0,2S
9:15:00,9.1,2.0,2B
9:15:00,9.32,1.0,2S
9:15:00,8.72,5.0,2B
9:15:00,9.26,5.0,2S
9:15:00,9.3,8.0,2S
9:15:00,8.8,8.0,2B
9:15:00,9.3,6.0,2S
9:15:00,8.92,5.0,2B
9:15:00,8.8,6.0,2B
9:15:00,9.3,7.0,2S
9:15:00,8.8,7.0,2B
9:15:00,9.48,100.0,2S
9:15:00,9.58,100.0,2S
9:15:00,9.28,5.0,2S
9:15:00,8.91,2.0,2B
9:15:00,9.28,3.0,2S
9:15:00,8.91,3.0,2B
9:15:00,9.28,5.0,2S
9:15:00,8.91,2.0,2B
9:15:00,8.98,10.0,2B
9:15:00,9.31,5.0,2S
9:15:00,9.32,5.0,2S
9:15:00,10.0,3.0,2S
9:15:00,9.24,5.0,2S
9:15:00,9.25,5.0,2S
9:15:00,9.26,5.0,2S
9:15:00,9.27,5.0,2S
9:15:00,9.28,5.0,2S
9:15:00,9.29,5.0,2S
9:15:00,9.3,5.0,2S
9:15:00,9.1,5.0,2B
9:15:00,9.09,5.0,2B
9:15:00,9.08,5.0,2B
9:15:00,9.07,5.0,2B
9:15:00,9.8,20.0,2S
9:15:00,9.43,71.0,2S
9:15:00,9.26,17.0,2S
9:15:00,9.25,10.0,2S
9:15:00,10.12,61.0,2S
9:15:00,8.28,11.0,2B
9:15:00,9.2,3.0,2B
9:15:00,9.8,27.0,2S
9:15:00,9.89,20.0,2S
